01012345678$4532112233445566$1123$Ahmed Yasser$BanqueMisr$123$12/27$12990.750000
01012345678$4000111122223333$3121$Ahmed Yasser$CIB$321$06/29$9950.000000
01012345678$4458258978952356$3512$Ahmed Yasser$NBE$589$09/35$6907.000000
01123456789$5321456789123456$4561$Sara Mohamed$CIB$456$05/26$11300.000000
01123456789$4111222233334444$6541$Sara Mohamed$HSBC$654$09/28$12000.000000
01123456789$4777888899990000$9871$Sara Mohamed$QNB$987$01/31$8000.000000
01234567890$4123789456123789$7891$Omar Hassan$QNB$789$09/28$23050.400000
01098765432$4789652314789652$3211$Mona Adel$AlexBank$321$11/25$5400.100000
01098765432$4333444455556666$1471$Mona Adel$CIB$147$08/27$9500.000000
01111111111$4012789456123098$6541$Youssef Ehab$HSBC$654$07/29$13000.000000
01111111111$4555666677778888$9511$Youssef Ehab$QNB$951$04/28$30200.000000
01125287598$4458987456584568$1111$Yousef Ahmed$Bank Al Ahly$658$07/35$3784.000000
